words,syllables,sentences,letters,avg_word_len,avg_word_syl,avg_sent_len,level
279,606,22,1421,5.093,2.138,12.682,upper_intermediate
353,745,45,1780,5.042,2.138,7.844,upper_intermediate
207,447,26,1067,5.155,2.138,7.962,upper_intermediate
345,663,80,1543,4.472,2.138,4.312,upper_intermediate
463,938,67,2152,4.648,2.138,6.91,upper_intermediate
452,878,87,2036,4.504,2.138,5.195,upper_intermediate
561,1075,105,2487,4.433,2.138,5.343,upper_intermediate
371,742,35,1682,4.534,2.138,10.6,upper_intermediate
386,773,40,1745,4.521,2.138,9.65,upper_intermediate
360,705,35,1630,4.528,2.138,10.286,upper_intermediate
402,897,36,2095,5.211,2.138,11.167,upper_intermediate
493,971,47,2285,4.635,2.138,10.489,upper_intermediate
519,1096,41,2574,4.96,2.138,12.659,upper_intermediate
427,885,39,2039,4.775,2.138,10.949,upper_intermediate
508,1056,52,2429,4.781,2.138,9.769,upper_intermediate
306,589,41,1384,4.523,2.138,7.463,upper_intermediate
460,886,43,2091,4.546,2.138,10.698,upper_intermediate
502,948,53,2233,4.448,2.138,9.472,upper_intermediate
325,652,31,1511,4.649,2.138,10.484,upper_intermediate
373,890,34,2010,5.389,2.138,10.971,upper_intermediate
389,922,34,2128,5.47,2.138,11.441,upper_intermediate
433,973,36,2256,5.21,2.138,12.028,upper_intermediate
441,987,44,2293,5.2,2.138,10.023,upper_intermediate
239,458,18,1073,4.49,2.138,13.278,upper_intermediate
418,836,65,1848,4.421,2.138,6.431,upper_intermediate
483,968,48,2208,4.571,2.138,10.062,upper_intermediate
169,371,14,844,4.994,2.138,12.071,upper_intermediate
184,367,22,859,4.668,2.138,8.364,upper_intermediate
437,871,29,2005,4.588,2.138,15.069,upper_intermediate
315,668,20,1515,4.81,2.138,15.75,upper_intermediate
359,704,40,1618,4.507,2.138,8.975,upper_intermediate
234,472,16,1104,4.718,2.138,14.625,upper_intermediate
224,391,34,962,4.295,2.138,6.588,upper_intermediate
217,475,36,1144,5.272,2.138,6.028,upper_intermediate
374,794,41,1837,4.912,2.138,9.122,upper_intermediate
396,784,69,1822,4.601,2.138,5.739,upper_intermediate
403,801,65,1849,4.588,2.138,6.2,upper_intermediate
274,588,50,1330,4.854,2.138,5.48,upper_intermediate
403,950,40,2180,5.409,2.138,10.075,upper_intermediate
157,343,14,766,4.879,2.138,11.214,upper_intermediate
424,852,34,1964,4.632,2.138,12.471,upper_intermediate
440,1102,39,2610,5.932,2.138,11.282,upper_intermediate
197,481,21,1122,5.695,2.138,9.381,upper_intermediate
516,1089,50,2533,4.909,2.138,10.32,upper_intermediate
478,1005,42,2387,4.994,2.138,11.381,upper_intermediate
268,550,26,1289,4.81,2.138,10.308,upper_intermediate
324,779,29,1813,5.596,2.138,11.172,upper_intermediate
294,600,31,1424,4.844,2.138,9.484,upper_intermediate
413,1031,36,2352,5.695,2.138,11.472,upper_intermediate
288,607,23,1457,5.059,2.138,12.522,upper_intermediate
235,501,24,1212,5.157,2.138,9.792,upper_intermediate
174,375,17,894,5.138,2.138,10.235,upper_intermediate
227,383,37,944,4.159,2.138,6.135,upper_intermediate
408,894,46,2112,5.176,2.138,8.87,upper_intermediate
615,1296,67,2973,4.834,2.138,9.179,upper_intermediate
436,912,48,2175,4.989,2.138,9.083,upper_intermediate
620,1319,69,3132,5.052,2.138,8.986,upper_intermediate
440,927,38,2187,4.97,2.138,11.579,upper_intermediate
521,991,51,2314,4.441,2.138,10.216,upper_intermediate
440,813,57,1905,4.33,2.138,7.719,upper_intermediate
380,684,78,1598,4.205,2.138,4.872,upper_intermediate
449,872,51,2015,4.488,2.138,8.804,upper_intermediate
365,743,16,1733,4.748,2.138,22.812,upper_intermediate
425,845,33,2001,4.708,2.138,12.879,upper_intermediate
290,635,19,1464,5.048,2.138,15.263,upper_intermediate
377,762,37,1794,4.759,2.138,10.189,upper_intermediate
485,934,83,2165,4.464,2.138,5.843,upper_intermediate
268,563,33,1299,4.847,2.138,8.121,upper_intermediate
352,777,53,1810,5.142,2.138,6.642,upper_intermediate
401,893,57,2083,5.195,2.138,7.035,upper_intermediate
385,824,33,1945,5.052,2.138,11.667,upper_intermediate
